Sample,Q,Value,patient,timepoint
ANBL-SM-Patient14-T0-M-DNA_mixcr_out.clones_TRB,1,786.352060156003,Patient14,pTx
ANBL-SM-Patient14-T1-M-DNA_mixcr_out.clones_TRB,1,327.370402415729,Patient14,pI4
ANBL-SM-Patient15-T0-M-DNA_mixcr_out.clones_TRB,1,174.105699804042,Patient15,pTx
ANBL-SM-Patient15-T1-M-DNA_mixcr_out.clones_TRB,1,106.150580985914,Patient15,pI4
ANBL-SM-Patient15-T2-M-DNA_mixcr_out.clones_TRB,1,494.24340827888,Patient15,ePC
ANBL-SM-Patient16-T0-M-DNA_mixcr_out.clones_TRB,1,839.811961613596,Patient16,pTx
ANBL-SM-Patient16-T1-M-DNA_mixcr_out.clones_TRB,1,59.1241293461789,Patient16,pI4
ANBL-SM-Patient2-T0-M-DNA_mixcr_out.clones_TRB,1,179.241247363226,Patient2,pTx
ANBL-SM-Patient2-T1-M-DNA_mixcr_out.clones_TRB,1,304.887743755942,Patient2,pI4
ANBL-SM-Patient17-T0-M-DNA_mixcr_out.clones_TRB,1,386.913832715139,Patient17,pTx
ANBL-SM-Patient17-T1-M-DNA_mixcr_out.clones_TRB,1,10.1776098474111,Patient17,pI4
ANBL-SM-Patient17-T2-M-DNA_mixcr_out.clones_TRB,1,884.755743942064,Patient17,ePC
ANBL-SM-Patient18-T0-M-DNA_mixcr_out.clones_TRB,1,1285.28685986069,Patient18,pTx
ANBL-SM-Patient18-T1-M-DNA_mixcr_out.clones_TRB,1,283.026552588571,Patient18,pI4
ANBL-SM-Patient19-T0-M-DNA_mixcr_out.clones_TRB,1,649.399713332865,Patient19,pTx
ANBL-SM-Patient19-T1-M-DNA_mixcr_out.clones_TRB,1,397.623585178101,Patient19,pI4
ANBL-SM-Patient5-T0-M-DNA_mixcr_out.clones_TRB,1,196.256349917413,Patient5,pTx
